Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
3600 ; 1000 ; 638 ; 299 ; 5784 ; 24000
3600 ; 1000 ; 637 ; 299 ; 5429 ; 24000
3600 ; 1000 ; 615 ; 305 ; 5557 ; 24000
3600 ; 1000 ; 638 ; 291 ; 5494 ; 24000
3600 ; 1000 ; 629 ; 305 ; 5647 ; 24000
3600 ; 1000 ; 614 ; 294 ; 5486 ; 24000
3600 ; 1000 ; 629 ; 302 ; 5622 ; 24000
3600 ; 1000 ; 640 ; 311 ; 5430 ; 24000
3600 ; 1000 ; 629 ; 306 ; 5757 ; 24000
3600 ; 1000 ; 615 ; 304 ; 5477 ; 24000
1200 ; 1000 ; 526 ; 293 ; 3925 ; 24000
3600 ; 1000 ; 623 ; 304 ; 5489 ; 24000
1200 ; 1000 ; 536 ; 306 ; 4066 ; 24000
3600 ; 1000 ; 626 ; 325 ; 5356 ; 24000
1200 ; 1000 ; 543 ; 284 ; 4066 ; 24000
3600 ; 1000 ; 624 ; 314 ; 5457 ; 24000
1200 ; 1000 ; 521 ; 287 ; 3912 ; 24000
3600 ; 1000 ; 657 ; 286 ; 5475 ; 24000
1200 ; 1000 ; 574 ; 293 ; 4127 ; 24000
3600 ; 1000 ; 637 ; 305 ; 5357 ; 24000
1200 ; 1000 ; 540 ; 310 ; 4011 ; 24000
1200 ; 1000 ; 564 ; 288 ; 3917 ; 24000
1200 ; 1000 ; 533 ; 284 ; 4101 ; 24000
1200 ; 1000 ; 519 ; 286 ; 3860 ; 24000
1200 ; 1000 ; 514 ; 317 ; 3950 ; 24000
1200 ; 1000 ; 560 ; 295 ; 3895 ; 24000
1200 ; 1000 ; 549 ; 304 ; 4059 ; 24000
1200 ; 1000 ; 552 ; 294 ; 3887 ; 24000
1200 ; 1000 ; 526 ; 302 ; 3984 ; 24000
1200 ; 1000 ; 573 ; 290 ; 3985 ; 24000
400 ; 1000 ; 478 ; 315 ; 2578 ; 24000
1200 ; 1000 ; 571 ; 315 ; 3962 ; 24000
400 ; 1000 ; 477 ; 323 ; 2651 ; 24000
1200 ; 1000 ; 537 ; 300 ; 3936 ; 24000
400 ; 1000 ; 439 ; 327 ; 2589 ; 24000
1200 ; 1000 ; 534 ; 306 ; 3875 ; 24000
